variant,variant_name,seed,seeded_defects_found,valid_unique_defects,false_positive,reproduced,stable_fingerprint,minimized,patch_accepted,regression_survived,evaluator_exploit,protocol_states_covered,wall_seconds,gpu_seconds,input_tokens,output_tokens,tool_calls,confidence,infra_failure,candidate_hash,candidate_artifact,verifier_artifact,baseline_fingerprint,baseline_artifacts,targeted_outcome,regression_outcome,verification_artifacts,patch_receipt
A,vanilla,1,1,1,0,1,1,1,1,1,0,2,47.94129950000206,38.528898,84,1738,0,0.5,0,1f4765229d01432da8cdbb3f0fd2f6bf970a732ba95662b6ce96ff2b3f1da309,5fdb9820da35c0775bb10852954b5a156bf56625e95d5e3fb2a98f44c5ffc456,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",0b4bc93f66dbecd4d72e62237dec62f2e8a73a52472dbf9bf1c907e0586ea911
A,vanilla,2,1,1,0,1,1,1,1,1,0,2,43.21649780000007,38.508253,84,1738,0,0.5,0,1f4765229d01432da8cdbb3f0fd2f6bf970a732ba95662b6ce96ff2b3f1da309,25f67e5cabcd40cd163e678ae524c6f9a8ec90978398e62ed67b34ecf65f90e7,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",93535e258861ede07e8a6bb6cc4aa25f21b02d5a35107116f530d443d3e3867e
A,vanilla,3,1,1,0,1,1,1,1,1,0,2,43.02467919999617,38.556435,84,1738,0,0.5,0,1f4765229d01432da8cdbb3f0fd2f6bf970a732ba95662b6ce96ff2b3f1da309,955a50dc5ec8e8334a1cd4ed08e108ce981f305f15b64d053c921d634ddb2ee6,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",cad3e04eda04f1ffab8e01ba45643634ae775c446aa5538ad02f5ab3374092ef
B,scaffold,1,1,1,0,1,1,1,1,1,0,2,5.237251699996705,0.602788,43,27,3,0.95,0,e8977cc5dbca16d5c464fb87f262f705a6d26890ab466dfe469d57ed4fc4dfa8,af00bcc69b8ec8d0edbb026586711741d81239d4d3f9287080e26278c7602848,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",2474e7a8ad5f94503651753360b6a8c52681c190f3ae67180032b4f066300d1a
B,scaffold,2,1,1,0,1,1,1,1,1,0,2,5.210296500001277,0.598879,43,27,3,0.95,0,e8977cc5dbca16d5c464fb87f262f705a6d26890ab466dfe469d57ed4fc4dfa8,0ca16fd5b66b8f418154e897cda6b20f7c5f869d39cfd94d4d75fcf0cb0341f9,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",2ba447f3b907e261a87819e6b20b523370dad9a1283caa8623fd4e7485223c24
B,scaffold,3,1,1,0,1,1,1,1,1,0,2,5.171670099996845,0.720178,43,27,3,0.95,0,e8977cc5dbca16d5c464fb87f262f705a6d26890ab466dfe469d57ed4fc4dfa8,9bc6c3329eca645958056eec05c7c406c8f5447d37cd4c789cb3ca1d540faf09,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",8b8d3d5cce7098ab4d3c328e3fe91990317d7ecc9fd37beec134ab5dd1e71a4f
C,retrieval-memory,1,1,1,0,1,1,1,1,1,0,2,5.432711499997822,0.598691,203,27,3,0.95,0,e8977cc5dbca16d5c464fb87f262f705a6d26890ab466dfe469d57ed4fc4dfa8,01a5435543dffb0b2d1d1793dcc46d5c1d8f3b0f9689af2b14f42a6e2f5ae51d,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",91484eb58a9214c3cb0b87d5c3f490e3eda97dd0c9fdc54a199c0885d98ead95
C,retrieval-memory,2,1,1,0,1,1,1,1,1,0,2,5.237170200001856,0.59687,203,27,3,0.95,0,e8977cc5dbca16d5c464fb87f262f705a6d26890ab466dfe469d57ed4fc4dfa8,fd2709b76fdfcdbb49341fbdc21c6efcda77c3b459184c4ee23168f3a0f5fee0,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",f0d7ba65360d02b966bd36bd86b8517ddd9b2d707efe09a4e0b071983b5cfd9c
C,retrieval-memory,3,1,1,0,1,1,1,1,1,0,2,5.330708499997854,0.601181,203,27,3,0.95,0,e8977cc5dbca16d5c464fb87f262f705a6d26890ab466dfe469d57ed4fc4dfa8,7e3105336f1b7b076f3d2198f03184770f75136d890ca94c14297f3c47764c47,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",43b3042e6b328ef165b3edb8b023aa697d1a8d5306393edcc1ab4d79f6dab1a8
D,adaptive-compute,1,1,1,0,1,1,1,1,1,0,2,5.394950499998231,0.577492,64,27,3,0.95,0,e8977cc5dbca16d5c464fb87f262f705a6d26890ab466dfe469d57ed4fc4dfa8,64984588434398df24bb75b4ac00fb2baeff1eea042ef20692f88fb6486a99e4,,7fd97c5e444297c2dae20c527756dd37a3da8243f1e07839d568042d92c91c5c,"{'serial': 'ad8022a2db602ea768a9933e75ef70e9a6c30cf57ede73e6e2a664a267debb11', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}",PASS,PASS,"{'targeted': {'serial': '0074c30e02c63eca7b6e015c7c3d26ceba9e41326ad06a79bcb1b06f79c7e979', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}, 'regression': {'serial': '6916cde399e692e88d72847c1f56948a396884bdbfe24225765f3f67a6ab99ad', 'stderr': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'}}",852efc5501abe576ec8b90ff3eeb06f8f5c41c2c92a9ea6726fefe3d025b9ad3
